T-ddVnq29IxDuOp85b1DirvUMom7Y=,A District streets explored,A区街道探索完毕
T-MDfUPUzEfD9xUmOkWE5bNAG9NpU=,I think I've found it A District streets with all the locations to explore.,我觉得已经找到A区街道所有可探索的地点了。
T-H8GvxcVe2MDMKPmXFbU8rOTDcig=,continue,继续
T-08jqhGhbbpoGUW2JBBs6mnjyycE=,B District streets explored,B区街道探索完毕
T-NXxIffAIal8yfdawTkAEqY+se+I=,I think I've found it B District streets with all the locations to explore.,我觉得已经找到B区街道所有可探索的地点了。
T-glF7Gjp2wHId7ejpv68MHTOCqUU=,C District streets explored,C区街道探索完毕
T-Ek0PqdbsOMVqUtFleHzayJMcTFE=,I think I've found it C District streets with all the locations to explore.,我觉得已经找到C区街道所有可探索的地点了。
T-WqGTu3nVBpvG5zNxL0fjzfQWbl4=,D District streets explored,D区街道探索完毕
T-lQjdUHek4/dUAO7aBQqOXeptpyQ=,I think I've found it D District streets with all the locations to explore.,我觉得已经找到D区街道所有可探索的地点了。
T-/46dRd/FJvQbbN+s1zyQ9N432hI=,a gangster,一个混混
T-xnbiIv8QIfjbT11QVlmPpexxY1U=,He has bad intentions and wants to collect protection money from you!,他不怀好意找你收保护费！
T-hL0nhzwSZRH5WaLiz4/Wco5qc74=,Helpless to give,无奈给予
T-/xa7mWvosUTFJydkPWGGX9ZhYDQ=,The gangster found nothing.,混混什么也没找到。
T-RWzYU9TGcEsFRQkobeFYOQYxf0g=,piss off,给老子滚
T-0VHECjbnBqBMd9i6YrTrTNUljHc=,Sewer exploration completed,下水道探索完毕
T-5z7ZOZR+7llcpCrAw0kCaY5uZlA=,I feel like I've found all the places to explore in the sewers.,我觉得已经找到下水道所有可探索的地点了。
T-RwPvtHaoRaxWUTAu134Y1QnKgR8=,sewer piranha attack,下水道食人鱼攻击
T-HWIM6clrz9kDprtj6JcTuBdWoYw=,The sewer piranhas are attacking you!,下水道食人鱼向你发动了攻击！
T-Si9IRtIc48xDFUOi1ocTf4yp2Ig=,"You can't hit me across the map, right?",总不能跨图打到我吧？
T-TP8v0CHKixibcsGRzl11YobTwag=,escape,躲过
T-aVMrgJVBswbcnv0TfMsr5KCsMfE=,sewer rat attack,下水道鼠攻击
T-6fGAYvvmP4KVMF7BOOGx9QNzF7c=,The sewer rats are attacking you!,下水道鼠向你发动了攻击！
T-lLPBThqBRrBnvD0V4WeUqUqgH4Q=,The exploration of the small lake in the eastern suburbs is completed,东郊小湖探索完毕
T-n7izR/lD+ATlEUpGZgstoCOg4Ls=,I think I have found all the places to explore in the small lake in the eastern suburbs.,我觉得已经找到东郊小湖所有可探索的地点了。
T-L9RwtdCINk5R+LSF7C/GyoVJyNo=,you are in jail,你入狱了
T-hhrM6pJ6oPhCrLB5IPLqna3fYTg=,"Because you owe so much debt, the government cannot tolerate your existence and sentences you to life imprisonment.",由于你欠债太多，政府无法容忍你的存在，把你判处终身监禁
T-BvJ22qSycAfIvDos3iD2gRgrboQ=,you were arrested,你被捕了
T-lFcqYuRiaBHY593PgB4aApSRFb0=,You are too arrogant. Go in and reflect on it!,你太猖狂了，进去好好反思一下吧！
T-qDPc7g9k0wyyW3FZfBPj4Kd7YYY=,squatting,蹲局子
T-Kvv6zY01NOEN1lc78LtUnWJjZdI=,You passed the level!,你通关了！
T-vP3VQSHo86jTg78Dbmhf7Jf05nA=,I haven't made enough money yet!,我还没挣够钱！
T-4qVRxniXgVCtDsrRNChrxSOzSLg=,stay here,留在这里
T-kxthPFa/U35M120KeM0cg0Xr7AI=,I've made enough money!,我挣够了钱！
T-dphQSeNJ5LNc4pokNGc43v/eLfA=,end everything,结束一切
T-8nAVGdH8k92H+naEMM21cvPcvVs=,"Now that you have money, you are no longer a poor bum.",你有钱了，不再是哪个穷困潦倒的流浪汉了
T-1Bk33sXti9A8ePk4J/BUbxMB2WE=,Completed exploring the park,公园探索完毕
T-OGlHP0IG2wCJY+cNxJGiBvoBg5Q=,I feel like I’ve found everything there is to explore in the park.,我觉得已经找到公园所有可探索的地点了。
T-RITcMBEkKcQ7gc+a55CQrDLJR4A=,The ultimate gift from the farmer,农场主的最终礼物
T-AZ9psOq0jS4ur9gbqxx91SCoDvQ=,You have the farmer's full trust,你获得了农场主的全部信任
T-JNPwDhA29JGNBwoFAdWkaVBobWU=,Farmer's request,农场主的请求
T-meZbBKynHxnTUdltwNlw05x6SNY=,"Good Samaritan, can you help me repair my fence and farmhouse?",这位好心人，你能帮我修好我得围栏和农舍吗
T-G2mKO/4wY5+4qY43nQVVrbCoxyg=,accept,接受
T-MUnsJafTkrpaupcz0XRw5DRyRmk=,Farm exploration completed,农场探索完毕
T-7pgzmHppOPERwu6M/Ga6WicH5Zc=,I feel like I’ve found all the places to explore on the farm.,我觉得已经找到农场所有可探索的地点了。
T-Qz4vQVXFuYtd9c7vATb+fjnwYsA=,The exploration of the northern suburbs forest is completed,北郊森林探索完毕
T-iWROJNSTs1nUAw0o09/30yBkvnE=,I feel like I’ve found all the places to explore in the northern suburban forest.,我觉得已经找到北郊森林所有可探索的地点了。
T-yViKzDxHxDjyl5Q3nolG2yLnBPQ=,The exploration of Nanjiao Pier is completed,南郊码头探索完毕
T-IrsrGqeaRekhYjJAyimRCARwOBQ=,I feel like I’ve found all the places to explore in the southern suburbs pier.,我觉得已经找到南郊码头所有可探索的地点了。
T-RnqMLq6+7EKTdRUstkfOQBvlGHM=,Map exploration completed,地图探索完毕
T-vDZrfLfwMUcwrWQ3IPC8SPqmze8=,I feel like I’ve found all the places to explore in this area.,我觉得已经找到这个地区所有可探索的地点了。
T-Jrc1gOfAzXFdLzwsUwxeUm9TbVo=,Garbage dump explored,垃圾场探索完毕
T-2e4Ed1VrlpKbUwW82/vdjp6U2yM=,I feel like I've found all the places to explore in the junkyard.,我觉得已经找到垃圾场所有可探索的地点了。
T-kOyyx2lvL58ZtmPrc7WwP/QVMIk=,goat attack,山羊攻击
T-CWBOE75q5ADGPJA9bUbbu2Wbv48=,The goats are attacking you!,山羊向你发动了攻击！
T-7Pswi3q66B2rcHfQpMUpyfN4+Ts=,City center explored,市中心探索完毕
T-Nz9Mbpt75xV5RI2t8iYtTHOCle0=,I feel like I’ve found all there is to explore downtown.,我觉得已经找到市中心所有可探索的地点了。
T-oiFN50HWkI7Aslwu/4AlbPL72sM=,seabird attack,海鸟攻击
T-P0ds2fUm5xX0WjkZhtahmkGhz98=,The seabirds are attacking you!,海鸟向你发动了攻击！
T-rQ08qAojkild9nOy/C++cKBDRT4=,gangster attack,混混攻击
T-DRLhi0Kxi5695HyHlkuZjMwbhgw=,The gangsters are attacking you!,混混向你发动了攻击！
T-sH3DTERgR5L3QYLFlzHAbNE40Og=,Fisherman’s hut explored,渔民小屋探索完毕
T-YtNIvbniTZ7+ys+g+DoA3nZ3m0I=,I feel like I’ve found all there is to explore in the Fisherman’s Hut.,我觉得已经找到渔民小屋所有可探索的地点了。
T-V9Q1O9SCS2y8SCcN5oR4HBud+F4=,A fisherman’s first gift,渔民的初次礼物
T-r16EoxeCyG3VKgENhvaEQUMkYv8=,You gain the initial trust of fishermen,你获得了渔民的初步信任
T-FVxvgydEl7Mhb/QoGCmHTXsfd6g=,The ultimate gift for fishermen,渔民的最终礼物
T-e8It4Xwtr1EtRIwQZ2XlBBieZg0=,You have the full trust of the fishermen,你获得了渔民的全部信任
T-KoFWoQ1e43bnQhScjgUJ6BN7KO0=,Gray partridge attack,灰山鹑攻击
T-nuiwU91xbvmFtJt3tnq2CN6rd3A=,Gray partridge attacks you!,灰山鹑向你发动了攻击！
T-/yJLZwkEFZ5PzdbFY0epSOX31Gc=,macaque attack,猕猴攻击
T-lMRaENliIbcrLfoc7n5NyHxlNPg=,The macaques are attacking you!,猕猴向你发动了攻击！
T-d0d18SPU6NkxZl3BJuzrozeUiZM=,Albino rat attack,白化鼠攻击
T-K/LsURavuvhoKHc8sFXdkcOvvDw=,The albino rat is attacking you!,白化鼠向你发动了攻击！
T-66FMrfAamXtERxyh1/rsbDuwRlA=,The mine center has been explored,矿洞中心探索完毕
T-Tti4g2iTR9ftJAIm+FQEaoQqyqI=,I feel like I've found all the places to explore in the center of the mine.,我觉得已经找到矿洞中心所有可探索的地点了。
